Text;Size;Color;Angle;Font;Repeat;URL
田壮壮;115;Random;Random;Random;Yes;
故事;66;Random;Random;Random;Yes;
刘若英;57;Random;Random;Random;Yes;
导演;49;Random;Random;Random;Yes;
哭了;45;Random;Random;Random;Yes;
演员;42;Random;Random;Random;Yes;
演技;37;Random;Random;Random;Yes;
三观;36;Random;Random;Random;Yes;
北漂;34;Random;Random;Random;Yes;
北京;30;Random;Random;Random;Yes;
分手;29;Random;Random;Random;Yes;
退票;25;Random;Random;Random;Yes;
票房;23;Random;Random;Random;Yes;
生活;20;Random;Random;Random;Yes;
感动;19;Random;Random;Random;Yes;
遗憾;18;Random;Random;Random;Yes;
错过;18;Random;Random;Random;Yes;
父亲;16;Random;Random;Random;Yes;
情节尴尬;16;Random;Random;Random;Yes;
恶心;13;Random;Random;Random;Yes;
煽情;13;Random;Random;Random;Yes;
编剧;13;Random;Random;Random;Yes;
结尾;13;Random;Random;Random;Yes;
细节;12;Random;Random;Random;Yes;
青春片;12;Random;Random;Random;Yes;
好看;11;Random;Random;Random;Yes;
很好;11;Random;Random;Random;Yes;
剧本;11;Random;Random;Random;Yes;
细腻;10;Random;Random;Random;Yes;
曾经最好;9;Random;Random;Random;Yes;
幸福;9;Random;Random;Random;Yes;
对不起;9;Random;Random;Random;Yes;
